"run_year","Unfished3Lower","Unfished3Mean","Unfished3Upper"
1999,40954.0380398649,45024.9695702721,49440.5603997137
2000,193770.810722034,201865.348045753,210377.59568533
2001,74438.9294677572,83317.1643909114,93296.0075669225
2002,225109.460350905,248805.553069079,276162.842099462
2003,343145.01594449,362357.383424322,383512.793111234
2004,183112.384853899,189658.866652056,196641.449223943
2005,127459.851182355,134980.767971126,143270.011342252
2006,59139.4618316122,64434.2219606897,70290.1677376472
2007,41071.2764283939,48470.0404667004,58795.3193493635
2008,12355.2065438003,15950.6331308125,21099.4710741212
2009,13129.0027297603,13887.7418869863,14770.2316148738
2010,64966.9224982828,68024.3660863093,72246.8363183463
2011,144389.947633582,152738.111641667,172383.45734086
2012,336343.700142984,366569.189816549,446327.527109374
2013,425528.03785379,451642.596603523,519914.994753757
2014,294900.064717554,311624.837390422,350633.024352528
2015,185179.074928689,194036.021562767,212446.102240781
2016,135083.031059173,144472.45729612,168486.755357443
2017,89142.4965197505,102273.413449265,137821.649005194
2018,117806.195497146,127569.274284247,151764.864191767
2019,169013.805771039,180441.78544928,207980.301940425
2020,201021.612289246,211170.737592066,233623.74247359
2021,151047.865130628,156909.118924077,165998.469360563
2022,8797.37208685066,11647.9664172278,16899.408268816
